INSERT INTO caselogixcms_dev.systemicfiles.SystemicFiles (Id, OrganizationalSectionId, ResourceIdentifier, Locked)
VALUES
('cba641ac-9458-49ad-bb8c-2ab4225cd162', '7934e6b9-1c78-4cbd-87a2-446095d41e40', 'endbsnjlb31DFQeWcQeYDJpNaogQS4qMN6iWRLn9', '0'),
('9781623e-1047-4e5c-962c-b21a2dd9d6b6', '17b8243e-88df-4928-9586-019a2e925188', 'P7uJnmSDLGCyJ8eoMcDR3gKfoTCwSVDneLp1Fhwc', '0'),
('f817029e-5860-48ba-961f-afa144ed97b3', 'f8705d04-0fde-4dc9-815f-4834a760bcab', 'GNEyXSmbc1yBHm7n8E8Cphvu0qOm2W1cMkm18umC', '0'),
('b7b5cd0a-c518-4700-8b6b-fa80818a1a20', '48de6c7b-b6e2-48f6-93c4-32cc44ae3cfc', 'al4E3kGwtxK34h8glMgwiUEKFWHldU5EIao6qz2V', '0'),
('57416336-f56b-4fe6-83ec-31bbbe8c7525', 'dc3a834a-0ef1-4cc1-a1cc-8a98cb9d9268', 'vfZtRpKBZCQMwLWhucb1RkIVWccghPOkBxxbriGt', '0'),
('bafc006c-ac43-440e-8d44-e7d89d1704ec', 'df2402c0-f20d-4fea-96e7-837f2d4f074a', '1Sg5t4BAYrNakV4S4NsE9hufozi3mjmmK8qucaKp', '0'),
('de2b9d77-4a17-4c53-af27-395da63dd40a', 'cd5c7eb9-8126-45e0-8978-7a54b5ad25bf', '6bLiAMNPvP0EzaE8ya0dcQ8YgAtBZffKwNLMhlfS', '0'),
('138ad9c8-9b9d-4af7-a227-0b1349ae5868', '39dad39d-7aab-41c3-8e60-e0a857c9c70e', 'TI97L42iSI0WacqKxPuvNZRdRMoaOM2D3pRzK1P0', '0'),
('9dd95eb4-00b3-4d20-a571-f1f206bcf704', '70be7b8d-e588-44ff-be22-1fe455bae7e3', 'xn9OTjxdBZt4ps26F1eGaTVCPROYWlzgzBI2sTTy', '0'),
('0f68f134-af79-480d-81fa-4d101eeb4544', 'c8bbe534-a1d1-4a50-9d61-dd21bebced7f', 'od3Er23sJfBCG5pL3WadIem7OChMjyxxE3OkHDeh', '0'),
('8622a138-ce6f-43cb-a715-6e441a6da131', 'fab02390-02bd-4bd3-9214-bb77689a4f92', '3mW8tFG3TYWVxN6IHlvo6R5h11cZ9JOF7AXzl2F8', '0'),
('b280ccf3-143b-4767-ad5b-764b003fb693', 'aa7514b5-3719-4103-837a-0a9415b04a11', 'tEBovt4LjvqygWABgzl5AFwwcXDcDPQxGNuLs5IP', '0'),
('648482a8-f975-4a4a-b1bc-75b36d34d599', '7e949caf-9421-4871-8702-6ebcf1c6c5ea', 'tAFavN4dzmacReiEBLwtOZGsPSqwhLxqbUijAd5Z', '0'),
('d6d3dc1c-251b-48a5-8255-2919f488d830', '3e24abba-a964-4728-adc8-6f4c5de70e30', '5mABE78WPyvKjkEnRnOqHRMfEPwdR1jCcp97903s', '0'),
('4061cd18-910c-4daf-b7a3-39e0c53d1697', '9d53d3a9-ee4e-450c-a8f7-ef605b17c869', 'kFZiEnwcbkyjwbZyypMe6hw9hlx4y8JnJGjE7RWk', '0'),
('5d054884-ece6-4d11-b1b0-417acfac4fe5', '7a6d8c95-fb05-45b3-a644-b24f08126b32', 'NpRjSXu8jroV9uyWJGqFUNpsV4Wnu0xp8s4EEceT', '0'),
('13be5c69-c17c-44c5-8578-9ba0a37df03f', '2d63f3bd-fd7f-49c1-8ee5-7a2b0ca58261', 'CWxy61w4u5iWgRNu1BPt2L6MpYEQ4IUlyagdQJbq', '0'),
('13d081f4-f205-4e9e-830d-eb0e58a09fe3', '94f53a9c-d866-48e0-9588-5c14bb25de1d', 'eRfvuhXv4fzy0BVNtmw6LmWJGN5zp4OyVCN73Wy8', '0'),
('f297c5d5-503a-40c9-834b-d3109f9a2572', 'b8453561-7969-46c9-9518-f884bde5d41f', 'Z7tIIuv7Afn4ZHNspE984aw61tolJoEb71nEJy1C', '0'),
('942e6225-ddb9-4528-8887-3a2c9703a726', '3231d8de-c2d2-453e-af95-ac07ed2fc284', 'o0tS2cFoUBnjiUzboM7tCwl7yHxwwXQDqrbTbwKu', '0'),
('17d075d7-de6c-4ee2-83a2-eeab6454c7be', '657d4713-fae4-4efa-925f-96dc4052d934', 'LtJob4ug7DlAzAEYTj4ImhvchmyutQnXtNRF66t7', '0'),
('fcd26e2c-17e7-416d-a4a9-221745f22bd1', 'b3b58a1b-1984-409e-b8dd-58f76fee9056', 'VrRIWGqaYc0lScRAIZ5XDvlh0IGE3Es15Tkr0s5u', '0'),
('d94c9051-b7fa-4208-b6f6-8c4dc04d9c57', '8c967d53-9ee1-4d36-8ea1-d771b32fa360', 'hq5SPbjn4taMjd92fRBmT5hbv9Dsdv3nssSEF3O3', '0'),
('f998caf0-037b-4065-8311-90676e28b3d4', '0abb0024-6199-4a80-98d0-9400b0067cd1', 'osSatbey5y3KV7AfEBkVjHM1NJvDKl9mTDJqYgKQ', '0'),
('5a16c67b-34f0-4f66-96c5-9600713fde82', '2eb62975-a33c-49db-9697-71271c590221', '2ePieWEMSzx9JBPhvjGDrr6jjCslR5eOu7MCc6SJ', '0'),
('a97d61db-c671-4de5-8de4-04f492beec86', 'daa88e0f-3970-4021-9c51-12b8ade266ad', 'V6YomWws68DePqOd6dIwJ7sWc62iIOKGhgoneak5', '0'),
('441a32c8-5d50-4a6f-b654-9e2da695f0be', '017c97d4-856b-460f-bfc3-c95d0ec4cfd2', 'BLjGtA02q14IzQJlJB86PuyOVPPVSyZRoCUZTkGJ', '0'),
('ca622d98-1403-4ddf-8feb-490d01c6317a', 'd52a980e-2999-4b56-a736-ed4435e3f3c9', 'xlcasnBOd8DC7DTkH4rf4pjOBSuclijZ0V7gQBgg', '0'),
('85819646-5d4f-4a06-8f5e-6bc362284542', 'b457ad05-6bf0-4e2a-81f7-e6dc7e10ebf6', 'Px5g05th7jlCWvPg061jWxDvxJtVjEQWd3SIiTqA', '0'),
('ad56b567-19fb-47d4-a59e-c38db4d7e28a', '43ab06f8-124f-4f02-956d-0756ddd81fba', 'UR0eW6B9GK51C8E7sIlVlYO5bSafJrXGRIXcbnUH', '0'),
('eca7b0cd-43d6-42c5-b96b-66042f91275a', '25745a95-cdef-4962-b4fd-ed3c54b62694', 'ipt9qac0XMLgxY65JOPBJFF6taA3sznPNt4MypHY', '0'),
('72e6f248-15c0-4ddc-8788-4e9873f04ee3', '317d1732-d04f-4da1-9226-b070235fbff4', 'QT2EzCGnllojtqielvDmbSKiKbVjXRWMJQCmXfXs', '0'),
('8d8544a9-9686-4621-ae4c-48ced9b46669', '0cce5e03-b9ac-4834-b490-20738f8370a4', '2V1gyTWNsn3UUY8q5zbwxMod8QDXtRscZ8kBYXbJ', '0'),
('47ef9ef2-bef4-4721-ab6f-ff998dfb2654', 'a5ea9bf4-2c24-4ef5-b773-686bb26104d9', 'Yc9HiHacwJWf0BDA5nM0LebKs81uaKxyE00UWD86', '0'),
('271330db-aab5-4efb-a42c-f01b0e5f7f43', '1929d5f9-5870-4576-8e0f-bf39d9af99aa', 'Vw8fObKWVoOntGthBj4xcmzWH7OjXTeacbOe4Frc', '0'),
('8fbfd755-3e34-4f3b-981b-1958099eefe5', '066ca440-3d2e-48d8-9021-6804e241f938', 'y2nsI789E677diM6mw3TUSyHqYJ54NZfva8fGX7e', '0'),
('71ddb811-bba2-4fa8-ad39-cc4c1b5d11ff', '5058a579-24fc-437e-8a3e-8060c0b7241f', 'oxWXnYgq5SHnzSGWTbqhGOUBx6YFd1DpVweJIazj', '0'),
('1488ce1e-c137-4ce1-ab93-2e9bc5c5f0cb', '6c807e28-dc29-44c1-a083-bd0820df0492', 'jNRx7uKjOkW4A2SLDsrZ6TpFIDL3msVmvgadcD0M', '0'),
('2e567560-6340-4162-9401-c5bc726a34e8', '19748081-1748-48de-9393-004a4527302c', 'YKzOlhqPVXKVs4tP30qkr9Noo6fSLY2ITLB4rFOu', '0'),
('6f0918a1-765d-4f90-a7f1-576c8e4c9282', '4e4302dd-a530-434a-ba2c-5454f63f21af', 'MmE57baxbTc2KOBTSuco7v0MmgJsGzPCNm6aNzjx', '0'),
('8a6ca879-5b31-4cfe-bb99-177aebddd213', '63f27132-e84d-48e5-a0d8-35a38209f5d4', 'qWqGHngtLOYIp6oHe8n6HOdTENIh1ot3kVHR4V71', '0'),
('61ea24f6-66ae-4ca9-a2d0-c6f9ed1bac5f', 'c979b9b2-6348-423e-9748-e4953f410d17', 'F9HEhM4zerPDNdcWImosf4WVFKi4lOar1Ki6rp2g', '0'),
('f91b2688-c49e-4f9a-b2d9-8b3a2b25c4fc', 'ac24ccbd-f556-42b3-90ef-32f288b256ce', 'uNgQA76pPLT2QgebuCwy8Iinjmt6v2QWXhn9ye3S', '0'),
('b7055385-57ad-4214-bd28-10da28f48ba9', '3dca45ba-b467-4da6-b3da-531349e03b9f', 'n1GO8ERrR1C94fSViisIPpiLL05TVUuuX3Qb9WnG', '0'),
('2aeafb7e-73df-4cda-ae5c-d7ac120ad9f8', '6d78424b-36d2-4b1a-8fb9-78cc8db27000', 'sBUMTYxXSlQ8zFjC3zdlq7N3mA211L21xbZeQMU8', '0'),
('f7072a30-fa42-459c-964f-11df4ebde764', '061d93e6-62f0-43f9-86dc-727b88947593', 'xnoBnstGEzciVS5A6MpbluM4UivR82IDhpqDIvu9', '0'),
('95bbc226-c193-4bd0-8103-cb1d8826892a', '1b8539c8-9fab-4828-ab9a-11c19b629a20', 'C9TUgqiEALvMXrfGfdbYWCeO4DZuZsVb4s4oT47Y', '0'),
('b502d935-698c-43fa-a191-2a9c27d1a04f', 'd0b9ac60-5566-4356-a49f-02ab72c0f881', 'iRojIt7CLt4FJGLGARyovjesTpTjYiNG9la3s7Pd', '0'),
('da546d8a-0196-48ea-b834-43452ee76d2c', '0cc3a3ab-e4a3-4913-b20f-ee3522c67b8f', 'vptn7wY5tARJgfNqxHsKBl0zMMtQ415B3Ipzmgw9', '0'),
('f45478cd-472b-45e2-8c9a-9ec7bcef2170', '07fabeee-fb0f-464b-ac33-c01719fc5376', 'fsgrQNnDEqJkvaud69EDr52SNLpUlWn1roA4cw5i', '0'),
('6b0f6f60-8e08-4a5a-9714-c166e49fc3c4', 'bfcef099-f454-4205-ad91-48d7cbda5107', 'c2rkOopH5p0cqkQULHsQt3abNav7UMOXEJwijkvZ', '0'),
('946785ac-5c38-42c6-9f90-031b6a890ca9', '11e78ea0-3f4f-40cf-89db-acd9cee8b404', 'ZdeyAmEQQa67N6bS1Wq8pfGbjjmKjVzPJpA9Nb00', '0'),
('b151af7d-a540-4529-807f-f625bcc82ef5', '3602e64f-0627-4fc9-89ca-345bce11524e', 'cLRA9OKai3yLrhusFwchZVwSSWDztdiYbJndYahV', '0'),
('02996ea1-8f39-4940-a450-c7c8d8410f67', '715979cc-86ab-4452-8fb3-d273366e0e33', 'FPKXVBwEC4k1CGrfTeIQCw8d3kNJyFDCVqwkCoWw', '0'),
('6d0e167f-8113-41d1-b7c0-6857dc83cee2', '60b98c33-4de2-40bf-8d0a-c27fa1eb1208', 'DmPCZA6pcYayVRTGK7U1NOyPxl8q2tJSa9NBrjbt', '0'),
('449fb991-2f5e-4bf3-a3f1-89758d475679', '6da97a17-9f0a-4130-af6b-e99639f595f7', 'BQaRticIdk7iYst9mwHZnqw7bUXUI11dd6Qm4IYE', '0'),
('d46f1be4-54c4-489d-b28d-8a47d5ff5b36', '5a29ea6b-d8fe-4e6f-bf1e-73cda70dec5a', 'QMj49M6kpX4MmxSsWQ3dHgoXQnjc6G7ceMXZYT1Q', '0'),
('56dc18cd-a38a-4d68-a819-e289e4a3fa90', 'de1ffc4e-f946-4030-beea-f34e4de9db29', 'AJDKZts6XTTrKOX6EX2qogxdcIIpsdswvMQt4FyL', '0'),
('168a8320-5d32-49aa-af14-af7d42340de8', '0d4a0094-a43f-479c-bc80-8e2cbc50d707', 'Gk4RfXxIZopVJm3H5tbChuabj6pGWH9Xus6LwD3a', '0'),
('4e03528c-c288-4732-8f2b-7f9c2e260564', '000d2c29-d59b-4bfd-8d89-7715cbdc4f2d', 'e8ELOraUSjCdlEg9nODxOVLPv3glU2t53w3xRdpw', '0'),
('fb9eecb1-c7eb-4b8b-971f-266ef458de87', '25c827b3-09fc-49ad-a468-27e0f55dd9f5', 'HCyVU2x1JzrxE2wErhjy82wNTriJ0jRv8Wtx9Rv9', '0'),
('09150256-d247-463f-ac5f-4aaad00aa2f4', '32dbc9c6-6518-487e-9524-8a1cd049d918', 'qbxLRthf7BzQ6dAN2p8BWr796AUFz04yKSjJqTmG', '0'),
('140852c2-1321-431d-82ba-66417a494b17', 'd7f2d2e3-ef6b-415c-b5c2-f21ee676a512', 'jnZauJ1RsDL2C3D1yATdsNu5cNz66xYw8YPPAGxd', '0'),
('6c72e0d4-4bb6-4a09-b424-82a23388b4b9', 'fd840e7e-1567-4a0c-aa74-3a2ff63f6555', 'K1ibhncUI4CnY7hnmDzncoE45Xbo9k8hQujWNFV8', '0'),
('11f77e9c-6825-4f71-9ba1-5ce895db8a97', '713ecd6f-5807-495f-a51f-183a12eac82c', 'r2SUNYGPWspKe8DyXmJxl4ioh4OCQEG47ZYZ7LzI', '0'),
('b16d1205-e4b8-4254-ba3a-c2fb3b105d2c', '885cfdb9-10b6-4a44-baf7-c2cab6196f2f', 'BkCinOKkLJCieACihEg6hDzcTlk4AcBilodzrIRt', '0'),
('92d61f95-ce87-4e1c-8d98-fe2dc6eab126', '6cec72e1-3c7e-455c-ab82-eaf8b0816c66', 'UBuaAax6nhpKhJbSDJVZjvdUOO5pmRE1D0tL4AgL', '0'),
('9723122e-cef0-43a2-b364-0f065f95fdcf', 'b7b10454-386e-46f9-8425-24e6699ad4e1', 'ViIc8hwr2z2jdV6vAC7nnkHccJVGmEcQajTdx7rT', '0'),
('28d73e02-1125-4f0f-ac65-ee68ce503706', '5b8bc7d7-6a52-4cef-8671-a27aa25def05', '1wRBs7tADrHBKQQeuZj0l51fkS75GYMW9mcpcznF', '0'),
('c14ab904-fe1f-435b-99e3-56d45dcb2d84', 'e6d5d0b2-50fa-41e6-9b35-29722e96f8b2', 'u064PJyoFkfwcH356hBf1qI4Atse7tARVOvyLQWk', '0'),
('edff7292-e67a-440c-aa0f-de9077f2a1d2', '021ff16f-083f-46af-9b4d-f066c3d96c49', '5rSr5mobDOhls7gZ2IeVtdPAlDLaHQrzks27YfyR', '0'),
('5b750f3a-4efe-48ca-9a46-8abc5c6e7ddb', 'a3215b43-87c1-4804-83e2-0213d77dc113', '2KreNhDCGbF4bsiHkGp8STkpyuPhxAai2bql9rBp', '0'),
('d04947aa-b9bd-4257-8a0d-59515ae350f7', '9a28b2ae-5496-459b-86de-1cb6556ae2f5', 'vaIn0WoRZczIwDYcLYHlU2otmEE5BCRF5byFN0wZ', '0'),
('94ab9bf4-bd40-4a66-8663-0e2e6310c9c3', '37701f3d-cf85-465b-8a70-83b114c73462', 'lxUtmgoDqyAoKqESBP9Ajyn1qbLwqs9rZnR7JPss', '0'),
('e3ccc8a6-5af5-404d-b469-4ecbdc253112', '89acfe60-ad69-4f0f-99ab-d8befa03522c', '0a9RT4uB3aAFvtGkYh98Y8LW2dzGF1cZUFg4U5Py', '0'),
('a80f7b22-6cbb-4b66-a0af-40759b574e50', 'c4b91aec-6bca-436b-a959-e7d80fd94e90', 'hBX5x1cGewmVYfOQlmqeHlJyT2zO5wKEz4dYoWzj', '0'),
('44aedd56-1f4e-4e8b-ac90-9768122ec8e2', '8220daab-a2d2-4869-9e75-c4a3c24b5c53', 'Ezp4T6Go0Rf2rkYXPCHEGV0pwO7qD9L1oArXqVjA', '0'),
('8a16960b-3156-4c70-abfc-96cc57351f12', '81247382-8570-4a2c-84e7-9c6106a58270', 'iSBavmcxXYHoaD5LZNpwYslCxn92b5glx3IQxswi', '0'),
('8719bb27-202f-4b9a-9af8-8c4cface1d6b', '8efcb89b-549e-4c2a-ba00-692d38ae2a6d', 'garG7U1pGXHycjNI2qXa6rot7A9U1SKapDy28x2J', '0'),
('12dbebd4-07dc-43c7-b473-2d772e04fa8c', 'b2a90edc-786c-4df3-8335-cc4b792fbd2f', 'pAHlC0YOGQ4sD48eAy7ZQqjut04deoquLiKeVIBg', '0'),
('7d22d28a-434b-42f2-b89d-043cee5223d0', 'b56b9da3-6cce-4cc9-9535-0cef08e99d4c', '4QjbIFwFumlwMpPwjEkppt4mJyetYyj0qaBk1Jp8', '0'),
('819831b3-d8d4-47d8-b6a0-834f279dc6e8', '7a8382a7-2bf8-4fb3-b982-61651f70f0b2', 'EA9lcJOfquQlu1zQZ2aLRM7wF0iy9rHfz8Dr6zAC', '0'),
('465e4aa5-a800-4677-88f5-70519dded409', '776f9341-daa2-481e-955e-dd9c0b248705', 'FEroxUffMmVXJ2CeE7fhWPoMy8SNWwVaU49xbhDL', '0'),
('46d1839e-2143-4421-becb-d67d9bf5a846', '63567d53-2682-4fd4-8eea-28987b6550ff', '6fJdqp23kK0wp5ecvncC47YBN3cMvZlYpzp7CVO2', '0'),
('29417888-de84-4158-881b-4f6845f1d25a', '429c65de-2b42-4004-b920-caebb3bed0cc', '8WtwG1fpPePojfIaQ94cBofnnvlKT40mvMzcfcEg', '0'),
('27c89d15-6a56-44cc-8c5d-8ea87ffe61fc', 'ed9e9270-5713-4c7f-8e5d-d0d7c2deb8aa', 'WT3y64Uo59jBeBf4MfdmRH4C9VRg62IDr6aHmbTm', '0'),
('dce812ca-996d-4332-ba3c-cba1dc16ba14', 'cb44c65d-e390-4767-bc92-947f0c92db56', '3grZS7dEHnxjUJKkMKAwe85VdEJ3iILW1yLNLua0', '0'),
('335dc61d-430a-42f3-9533-c48e429676f4', '94c0d4ed-2b7a-45f0-b0b4-f7b4a391f964', 'nFyvZnbcdE1roYSTJBQmkWrJfCmBX5LLMMDv5YoU', '0'),
('26b89471-62f7-4d93-b790-5441da5ec241', '38a6e1a7-0f47-43a7-abd5-394a8e8b8b81', 'ns1AUYKt0SfSYGxZZuo1vNxxhytNbznegBIKPadE', '0'),
('eaf804bb-0255-436a-8704-bf8eeb472ae2', '61e1ec1e-b96a-4e43-8367-e181615b9d9d', 'ryuZDH0HlpWgvXAxyW469kqiffe5c3pwgZWpepgw', '0'),
('d5d5473e-f779-4ed4-a79f-051e7d99e20d', '49d4cae1-ef6f-450d-812f-37bf71d2903d', '1vIAQNXtbpTvQ29JKbLRlxEVJIPHndnaKrtHJap9', '0'),
('7a521798-6ecf-4cd0-81b2-56052cca0843', 'bd290db6-8b3a-4a9b-a54f-95097fbc2d00', '2Ie4O3YOVWQLSB3A4ZyxiKxxuhnMH09SGyHu2Y3Y', '0'),
('a3c3cd3d-dbee-4f0a-a5cd-d25f722d1dfa', 'ccf77c5f-3a2c-4f6b-b353-a6e300b43bb6', 'sciUgFIrvHi3GtBHTq0U5YRoXys8LtxtxUkHikuP', '0'),
('5af86ffc-9a52-4219-98cc-2c5f5e382b58', '14989406-aa27-4cf6-9b70-aeeaddfa859c', 'lfMuUUn5qSIT6VsKHQc7s5ULlHa3nbbHNNIJTA0x', '0'),
('2ea9f02b-9d75-436b-86c1-10e9cf7da663', '44e199a9-cf63-4898-9be7-8c47c24ca1ec', 'rZTbK2BsaX9o3EGa2iU8hShnbYNJ6OKCxotw5WgQ', '0'),
('c4b8d5f7-c505-4d2f-9735-b543ddc865d2', '11a253bb-12de-4b36-803b-9ec654eae8b0', 'r8GNt0n4al5Rg3aa8Rfo06dpMUKQWZdraijBQ2Sq', '0'),
('11cc05a8-085c-4567-bdbe-e328a096979b', 'b94f8b5e-2dbf-4f95-b910-8da279d8a341', '53pQp6nFdoeFTRfLi7Rxi0XMhhR5m4VdfGPVIMTl', '0'),
('ddab9b5e-0988-4dfd-a8e8-0d954fcb3a59', 'dfa457df-3c72-4c80-8388-b218dcbef6aa', 'j6roes3I0ibzDaefYlaOyNMLKCYVheHurs6AZrhJ', '0'),
('8cc2c66b-cfec-4b5f-a0f5-cd1e2088eb46', '2191fbbb-53a1-4ec7-8e2e-355e1f70e922', 'nk7goGsMAVfXW9jswhpjfhqj0mW3NMMmGyF8oZkU', '0'),
('7c396ffb-45db-4034-8c5c-4ad9e3a86878', '80dee199-3d9b-428a-b426-5c0ec6c884f0', 'o85qieHljZmcd4NgVyMkaOub6TqmUU9ANsiOPRm6', '0'),
('6b180e6b-c7e0-4081-9fa9-e7e8e4d6497b', 'b74f5821-db46-442e-aeff-0bf0eb8b32c2', 'yfVxLphDuKbGHDF7EnBWljVVsyuHHNdj3GI14b1U', '0'),
('641894d7-366d-4ac3-bd26-45f55f4ce932', '6654623c-f886-4464-bed2-f308ceb5d057', 'KGYhrm1vujFGAcFT7AQlZo9WhdqayM3GwTaUe0va', '0'),
('01ec6f3b-e488-49fe-b9ad-05791e2104a9', '1236b7b1-b50a-4d67-bb89-7c0e2081d7b0', 'HNBJPq8ctN4XXtI1JU7n6w8WPutMVKPDThBYwZgR', '0'),
('b7a7394e-b5cf-479f-bfd3-73597e960c72', '4497c60d-f843-4289-96fa-c213dd023987', '0sssnEjFiwbLq0fu5elIigFCfKjWvmXC1KkQPUU5', '0'),
('ba88eace-25e9-4bf4-b707-47c8ff64ee37', '519c0b56-da6c-4abc-a976-13404d8e05cf', 'MELpcsMcgOkoSP0HpXWAveQkRg35ArCMGwBb7TBc', '0'),
('971a81f1-0a18-47e2-83dc-e84f9a56e575', '1e6a56df-beb2-458a-bb8b-81aa96aea1a0', 'yA25Y0Vz70b7PxBieSlQ2Z3wsaYajAI4jcL7owZq', '0'),
('b9eb2ed6-6f34-4f74-97d8-020d9443e3f3', 'cfc752b0-0c58-455e-b266-1f4a18b286e1', 'ygong7IEtuVQb4lQTbHdzFALIKQ9AYHz0uqs2xrw', '0'),
('90f99135-bd7c-4b18-aaf9-f07532a54f73', '5b5a7957-e826-43b7-976d-1eeaff17432b', 'jj3FRnVdNY1Lqem5EYbMzIUNpmud0y3jaNmT8BG9', '0'),
('2ae91a56-d7e7-4928-b0cb-24b8c2349c40', 'd97b0d86-fb60-41e4-820c-1906116a4778', 'KA1VGgMI6p2UpOlCIultchUcVfgXsFtBBVBXrfm2', '0'),
('5da07038-9696-4266-8e6c-cbbfcb6ffb39', '409f0c88-3b25-4ecf-bf85-f84b40cd656b', 'TdUP7dLogGz3lLXB79Afqvq2iOPgH5bXVrxHXiRo', '0'),
('554494ed-dcf6-4150-a2e7-39f2b6f9b480', 'e1c8cef1-a73c-465f-b0e6-b9e418d9c03d', 'hazranwhpppOq48sIszjBhuQEZWUrbMumzjypOue', '0'),
('b47bc044-3377-4adf-af14-7f9707a4175c', 'bcfea05c-7618-4774-8b13-4b0602da1eee', '63SmUOGm7dAGoAgc8itO6tbgQyU22UqNXCmXP8Yi', '0'),
('5a60f409-0e4e-42c8-b0c5-60b6db53b4b0', '4de4ae71-4856-42bc-a3cc-8813d98a034f', 'Byg7SQgAiDUqpcCjRgJq1VwoCMDuNKmRqzanrQEo', '0'),
('30888b97-8263-4603-bb90-9fa3291a9967', '1e37b66a-b2dd-4f0e-a31c-82ce037cc8bd', '8URed2jo9Vxkxs0ODjyRy4bMQMfdkUynvM9bqBZB', '0'),
('c3007514-0d3c-4bbe-a20f-3c6eaede1951', '60a2bd72-bf20-49b7-ae92-e0c7dcc73a55', 'BpiFy7472hcaDdj5GJ7vP2Vcb2LpA28Ou6oAnZ2x', '0'),
('477d57b6-a528-406f-82b5-c2bb0c71b0fd', '45a2db6b-e1e5-4e09-8217-d37d77ab954a', 'BFvxWP4vpZr4El26pkZxc2lYo2MUuWtopjJV7Z3v', '0'),
('0c6cc1b5-c7bd-41dc-b337-0f90116fe6dd', '3587ff5d-b9c7-4743-8611-dbe673aa1086', 'ZM8nw3dsmma75CDQvnjBjb2maAoWoPyrwiypotsT', '0'),
('f20d76ea-05fc-4970-b3c8-475407a30f9b', 'ea5b0462-daf8-4c98-8aa8-c674fc0449b2', 'Bzpy1GFbJTilAVBg0oapJFu79M0X1MGAHJIMx5zW', '0'),
('57d15058-c543-4dd3-b9b3-242aff9c470a', '69c69c2c-7a62-45a8-b54e-3a9a3018cf69', 'jN0tj252O4RVKSYzxRtVnwM7KotwV9cIxsXFcMO4', '0'),
('0ec7f928-4f58-4331-9f74-5ad5f0496c25', '4a0ab08b-3b25-4bb6-ba05-d314e10ced17', 'V6modAlIsSMKKN98BWQQ9RNGq3TTfDbjWwoSggkZ', '0'),
('8e3c21a3-9cae-476b-aae1-c8783b594fdb', '6480c39d-e5af-4338-b281-7ddccce8b040', 'RDCChYLB0c6Oxa10r0fZuO0lpd8NGB8UCuskZTv7', '0'),
('223773e0-8615-4c0c-9498-a1f8e152f840', 'c250ac1c-edeb-4454-a893-551069b818fe', 'mhSlxgZ2IjPsIOj2owQW0CuQIAWjNosKk0mQg5xx', '0'),
('e55990b3-27a6-4cc7-a944-594493986b66', '8f1dc3aa-7338-44d0-951c-8bf27cbe7473', 'KkzU9ATJut7O4YFVul5Czl6lxNraAZXIl17pvkmJ', '0'),
('15f27552-b0ce-415f-9868-73a95d8aab52', '61d8c9d0-6706-4364-a258-6c510725daa7', '9MsxxoqTGLEXVhC1t7mExftRweRwn2Re2EdO72KX', '0'),
('4a5498ff-820e-4a20-8456-0edfabfa8a06', '3ec12bd3-ab1a-498f-b73e-76ab99174cdc', 'PCTQ8cYZ4VZgHr38IzEuhqUhmAukZ65TBBcuSZZp', '0'),
('de7452cc-a65a-4a8d-b6ff-8e608c92d4b1', 'c5f3aa53-35a9-49ab-89cb-7e83e782ebd9', 'bZCL5Yd7DQ4myrhLKYGnRnATHTLFQEdoN9GWvcNC', '0'),
('35e73916-471f-47d5-97da-6a56c0fb16d2', 'bbc341c3-28b7-4693-92f6-5e07341d72a6', 'laeZad5RV4VMqT9YV3LgCzN3asdh8MGi3RhPQcdO', '0'),
('02690f17-871e-4dcc-9dd2-b05f9bb68150', '0fde4005-b3c7-40f7-b5ba-6be036fbbdfe', 'l0i8BKDbpNPFpwqLhmAtki7INxtanIfgN8uaR8IM', '0'),
('82266019-07c1-4b0f-ab7b-aa050ef7e4ec', '3fb5f91a-986c-4fd9-b654-863d79e12c49', 'v363yoHjrhlRLsDUe20F9ybz04KburPN6amEYCVm', '0'),
('2689433c-ebc1-4f3e-9d51-4b9e612c17fe', '628bbb56-40d9-443a-8d03-8e0e072f1f5b', 'iREKqOFjYDOcWWdYzWxkdU7tFnc1o7scIuCVYiVI', '0'),
('84fa5068-fc63-4612-8736-b12446968882', '0feca08e-84c9-4794-b3b4-c98c0167a410', 'leIkjtu7KmynaInOEALCtMJ3xscORqmCv0TyKzzt', '0'),
('21644224-ce12-4551-9776-04ff9d1c4069', 'ddc9eab6-6b79-41fb-b5ab-8c7ab362736e', 'MaOfSTzZBIqyVHObaV251u2z9bNeD3BBc4wM10h2', '0'),
('880d382e-68f5-4383-a5c8-554ca28d708f', '4f4f3e05-f973-4cc1-a16b-caa00fade8f6', 'Hzp5DnbQbc5vqpRa65qL0WBpsQ70IE437dQM6pR0', '0');
